x, y, magnet_x, magnet_y, magnet_z
19.4, 7.4, -16.7407612245, 4.42844306122, -58.9045918367
19.9, 7.4, -8.73789857143, 13.5226836735, -56.7028714286
20.4, 7.4, 29.7875795918, 28.9574673469, -58.7997469388
20.9, 7.4, 39.6540734694, -33.1037510204, -64.4974367347
21.4, 7.4, -12.8513604167, -18.05015625, -65.49790625
21.9, 7.4, -19.3448270833, -15.64210625, -67.2418
22.4, 7.4, -26.5111163265, -20.7504, -63.1125653061
22.9, 7.4, -27.7115836735, -19.4244408163, -58.862922449
23.4, 7.4, -31.99255, -18.7598229167, -52.55188125
23.9, 7.4, -32.6990166667, -18.82213125, -48.3646666667
24.4, 7.4, -38.4614291667, -11.9633333333, -44.1377
24.9, 7.4, -27.1240510204, -9.14063938776, -46.2211408163
25.4, 7.4, -19.327222449, -10.3538393878, -45.5440265306
25.9, 7.4, -18.03111875, -12.7802125, -39.0063520833
26.4, 7.4, -16.121777551, -9.94017081633, -36.1395653061
26.9, 7.4, -20.578377551, -5.69884632653, -31.1314204082
27.4, 7.4, -23.00125625, 0.667063514583, -27.6192666667
27.9, 7.4, -18.3791265306, 7.46550244898, -30.7180612245
28.4, 7.4, -16.4564469388, 8.67671020408, -36.7222673469
28.9, 7.4, -16.2076653061, 1.38101452041, -41.518944898
29.4, 7.4, -25.4223897959, -4.84578653061, -36.0079979592
29.9, 7.4, -26.11086875, -8.107884375, -34.3834
30.4, 7.4, -31.9814708333, -8.8454875, -31.3590354167
30.9, 7.4, -29.6220183673, -9.93291632653, -29.9483428571
31.4, 7.4, -30.6787244898, -11.8046306122, -25.8837979592
31.9, 7.4, -29.7884979592, -11.3799436735, -24.0137306122
32.4, 7.4, -26.9621204082, -11.0511279592, -23.4672714286
32.9, 7.4, -25.9894708333, -9.75965375, -21.9020541667
33.4, 7.4, -19.5732020408, -8.42098387755, -24.088244898
33.9, 7.4, -16.5190666667, 1.86278029167, -27.1568270833
34.4, 7.4, -10.4382846939, 1.38627694939, -33.9848142857
34.9, 7.4, -13.2638122449, 4.40250285714, -40.025077551
35.4, 7.4, -16.8500897959, 3.56526265306, -46.3715510204
35.9, 7.4, -21.2913102041, -2.19499265306, -48.0545571429
36.4, 7.4, -25.0282428571, -4.79241142857, -46.0767142857
36.9, 7.4, -29.4189208333, -9.57870375, -40.7795916667
37.4, 7.4, -34.42945625, -5.052661875, -35.6662208333
37.9, 7.4, -33.7801877551, 2.14753469388, -37.2371142857
38.4, 7.4, -28.8149604167, 1.56313647917, -43.04246875
38.9, 7.4, -25.9863673469, 1.50853421837, -46.7049040816
39.4, 7.4, -24.5737729167, -1.03616685417, -50.82610625
39.9, 7.4, -20.63731875, 4.40648395833, -57.9976083333
40.4, 7.4, -16.2164333333, 3.47223229167, -68.2182916667
40.9, 21.9, -21.5577669903, 9.43398058252, -61.0014563107
41.4, 21.9, -82.6038873995, -6.32815013405, -83.3237265416
41.9, 21.9, -36.9008706468, -23.8609452736, -56.6300995025
42.4, 21.9, -20.0550518135, -4.95919689119, -39.9696891192
42.9, 21.9, -21.4267987487, 2.96350364964, -36.7922836288
43.4, 21.9, -23.4882993197, 9.8031292517, -36.5012244898
43.9, 21.9, -30.5514164306, 14.5967422096, -39.9822946176
44.4, 21.9, -40.8200348432, 10.6515679443, -44.2336236934
44.9, 21.9, -39.4842917251, 4.95778401122, -38.2863955119
45.4, 21.9, -39.5148293963, 2.47782152231, -31.854855643
45.9, 21.9, -38.4675599436, -0.922566995769, -27.053596615
46.4, 21.9, -36.8063211125, 1.33438685209, -22.4539823009
46.9, 21.9, -38.5602189781, -1.34501216545, -18.8911192214
47.4, 21.9, -39.4933065596, 1.81499330656, -15.8872824632
47.9, 21.9, -43.9467680608, 7.65171102662, -13.9115335868
48.4, 21.9, -67.4881899872, 12.5055198973, -11.9996148909
48.9, 21.9, -72.0440042827, -15.9344753747, -17.7250535332
49.4, 21.9, -41.2184245661, -23.9133511348, -32.5299065421
49.9, 21.9, -19.5634482759, -20.0753103448, -43.9637241379
50.4, 21.9, -6.45649350649, -11.6509090909, -52.9972727273
50.9, 21.9, -5.07620164127, 23.5520515826, -62.1928487691
51.4, 21.9, -52.6281767956, 9.89820441989, -60.3208563536
51.9, 21.9, -45.8490950226, -10.509841629, -54.7742081448
52.4, 21.9, -30.6277254374, -10.364602961, -40.3895020188
52.9, 21.9, -26.4657963446, -8.35744125326, -31.551305483
53.4, 21.9, -23.2502624672, -5.51036745407, -24.7837270341
53.9, 21.9, -25.1491758242, -4.45302197802, -18.345467033
54.4, 21.9, -21.211627907, -1.2165374677, -16.1047803618
54.9, 21.9, -20.0907810499, 0.621126760563, -18.2615877081
55.4, 21.9, -19.5932555123, -1.80687418936, -20.9063553826
55.9, 21.9, -19.0446715328, -3.18905109489, -20.6182481752
56.4, 21.9, -18.3358441558, -4.80636363636, -20.5828571429
56.9, 21.9, -15.0887905605, -7.38947885939, -23.2747295969
57.4, 21.9, -15.65625, -7.68974056604, -23.777240566
57.9, 21.9, -17.1411989796, -8.28482142857, -24.5551020408
58.4, 21.9, -19.6040897098, -12.7790237467, -23.2480211082
58.9, 21.9, -18.4589580686, -13.7287166455, -17.8585768742
59.4, 21.9, -17.2074024226, -10.7253028264, -11.1609690444
59.9, 21.9, -16.510483871, -4.83709677419, -7.77123655914
60.4, 21.9, -16.6439146801, 3.30765370138, -9.03287327478
60.9, 21.9, -18.8010430248, 10.7895697523, -14.5829204694
61.4, 21.9, -54.1612217795, 22.4006640106, -25.1341301461
61.9, 21.9, -35.9438961039, -13.3785714286, -19.2632467532
62.4, 21.9, -22.9097765363, -6.14553072626, -23.431424581
62.9, 21.9, -21.4756965944, -3.29907120743, -28.0360681115
63.4, 21.9, -19.8996216898, -4.18587641866, -26.4964691047
63.9, 21.9, -18.5325346784, -3.39054224464, -22.1798234552
64.4, 21.9, -17.2631793478, -1.69252717391, -17.6020380435
64.9, 21.9, -17.2601769912, -1.61297935103, -14.9719764012
65.4, 21.9, -15.3851941748, -2.47754854369, -14.5047330097
65.9, 21.9, -14.9374233129, -1.57398773006, -13.8820858896
66.4, 21.9, -16.9673469388, 2.0674744898, -15.2579081633
66.9, 21.9, -18.6043824701, 4.83014608234, -20.4355909695
67.4, 21.9, -22.1172839506, 8.54993141289, -27.8743484225
67.9, 21.9, -24.1743718593, 7.05841708543, -35.2115577889
68.4, 21.9, -26.155443038, 1.54025316456, -41.4902531646
